COUNTRY,COUNT_COD
Mexico,1503
Haiti,221
"Costa Rica",154
Philippines,154
Thailand,140
"Dominican Republic",137
Jamaica,123
Bahamas,104
Afghanistan,101
Honduras,94
China,85
Canada,80
Germany,76
India,76
Guatemala,68
Belize,58
Italy,55
Colombia,54
Ecuador,53
"El Salvador",53
Greece,52
Australia,51
Vietnam,49
Netherlands,47
Brazil,41
France,41
"New Zealand",39
"United Kingdom",39
Barbados,37
Peru,36
Nicaragua,35
Japan,33
Spain,33
Egypt,32
"United Arab Emirates",32
Cambodia,31
Nigeria,30
"Saudi Arabia",29
Panama,28
Indonesia,26
Korea,26
Cuba,25
Switzerland,23
Turkey,22
Pakistan,21
Taiwan,21
Israel,20
Nepal,20
Kenya,19
Kuwait,19
"South Africa",19
"Trinidad and Tobago",18
Iraq,17
Portugal,17
Russia,17
Jordan,16
Bermuda,15
Morocco,15
Tanzania,14
Ethiopia,13
Hungary,13
Norway,13
Argentina,12
Fiji,12
Lebanon,12
Bolivia,11
Guyana,11
Qatar,11
Uganda,11
Venezuela,11
Yemen,11
Poland,10
Sweden,10
Ukraine,10
Uruguay,10
Austria,9
Bangladesh,9
Belgium,9
Chile,9
Laos,9
"Cayman Islands",8
"Czech Republic",8
Grenada,8
Ireland,8
Malaysia,8
Romania,8
Singapore,8
Bulgaria,7
Mozambique,7
Paraguay,7
Zambia,7
Albania,6
Congo,6
Jerusalem,6
Bosnia-Herzegovina,5
Cameroon,5
Ghana,5
Micronesia,5
Namibia,5
"South Korea",5
"Sri Lanka",5
Syria,5
Armenia,4
Bahrain,4
Denmark,4
Georgia,4
Kazakhstan,4
Liberia,4
Mali,4
Somalia,4
UK,4
"British Virgin Islands",3
Croatia,3
"Federated States of Micronesia",3
Gambia,3
Latvia,3
Mauritius,3
Oman,3
"Papua New Guinea",3
Senegal,3
Slovenia,3
Sudan,3
Zimbabwe,3
Aruba,2
Benin,2
"Cabo Verde (formerly Cape Verde)",2
Finland,2
Iran,2
Libya,2
Montenegro,2
Rwanda,2
"South Sudan",2
Tonga,2
"Turks and Caicos",2
Abania,1
Angola,1
Belarus,1
"Burkina Faso",1
Dominica,1
"Equatorial Guinea",1
Estonia,1
Guinea,1
"Kyrgyz Republic",1
Kyrgyzstan,1
Lesotho,1
Macedonia,1
Malawi,1
Malta,1
"Marshall Islands",1
Moldova,1
Mongolia,1
Monrovia,1
Niger,1
"Northern Ireland",1
Serbia,1
"Sierra Leone",1
"Slovak Republic",1
Tajikistan,1
Togo,1
Tunisia,1
Uzbekistan,1
